id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
24157	CSAH2571		Sweden	2012		gastroenteritis	human stool			33	38	30	82	104	43	388	6543	ST-828 complex
24158	CSA-VV50		Sweden	2012			environmental waters			137	86	393	198	325	279	95	6544	
24159	CSA-VV109		Sweden	2012			environmental waters			137	177	88	269	662	524	156	6545	
24160	CSA-VV76		Sweden	2012			environmental waters			86	177	87	518	471	523	76	6546	
24161	CSA-VV92		Sweden	2012			environmental waters			121	213	190	218	299	241	389	6547	
24162	BKT16281-12		Sweden	2012		carrier	cattle			346	1	21	3	2	1	5	6548	ST-21 complex
24163	CSA-VV74		Sweden	2012			environmental waters			130	86	174	198	594	126	76	6549	
24164	137954		Sweden	2012		carrier	wild bird	carrier		99	127	91	508	184	148	109	6550	
24165	128505		Sweden	2011		carrier	wild bird	carrier		97	458	396	141	663	527	107	6551	
24166	128785		Sweden	2011		carrier	wild bird	carrier		98	122	98	125	664	150	113	6552	
24167	137445		Sweden	2012		carrier	wild bird	carrier		84	459	29	28	74	528	90	6553	ST-1287 complex
24168	137710		Sweden	2012		carrier	wild bird	carrier		84	460	397	144	74	529	87	6554	
24169	OXC6471_V2		UK	2011		gastroenteritis	human stool			33	39	30	82	104	56	17	827	ST-828 complex
24170	OXC6472_V2		UK	2011		gastroenteritis	human stool			33	39	30	82	104	56	17	827	ST-828 complex
24171	OXC6484_V2		UK	2011		gastroenteritis	human stool			10	27	16	19	10	5	7	403	ST-403 complex
24172	OXC6485_V2		UK	2011		gastroenteritis	human stool			10	27	16	19	10	5	7	403	ST-403 complex
24173	OXC6566_V2		UK	2011		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24174	OXC6575_V2		UK	2011		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24175	OXC6595_V2		UK	2011		gastroenteritis	human stool			7	28	4	28	17	34	12	573	ST-573 complex
24176	OXC6610_V2		UK	2011		gastroenteritis	human stool			7	28	4	28	17	34	12	573	ST-573 complex
24177	OXC6576_V2		UK	2011		gastroenteritis	human stool			33	39	30	79	104	35	17	855	ST-828 complex
24178	OXC6578_V2		UK	2011		gastroenteritis	human stool			14	45	2	4	19	3	6	312	ST-658 complex
24179	OXC6471R_V2		UK	2011		gastroenteritis	human stool			33	39	30	82	104	56	17	827	ST-828 complex
24180	OXC6472R_V2		UK	2011		gastroenteritis	human stool			33	39	30	82	104	56	17	827	ST-828 complex
24181	OXC6484R_V2		UK	2011		gastroenteritis	human stool			10	27	16	19	10	5	7	403	ST-403 complex
24182	OXC6485R_V2		UK	2011		gastroenteritis	human stool			10	27	16	19	10	5	7	403	ST-403 complex
24183	OXC6566R_V2		UK	2011		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24184	OXC6575R_V2		UK	2011		gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24185	OXC6595R_V2		UK	2011		gastroenteritis	human stool			7	28	4	28	17	34	12	573	ST-573 complex
24186	OXC6610R_V2		UK	2011		gastroenteritis	human stool			7	28	4	28	17	34	12	573	ST-573 complex
24187	OXC6576R_V2		UK	2011		gastroenteritis	human stool			33	39	30	79	104	35	17	855	ST-828 complex
24188	OXC6578R_V2		UK	2011		gastroenteritis	human stool			14	45	2	4	19	3	6	312	ST-658 complex
24189	Dg61	ERR278290; SC_RUN_9471_1#65	UK				other animal			288	388	29	28	74	450	35	6561	
24190	Dg62a	ERR278291; SC_RUN_9471_1#66	UK				other animal			288	388	29	28	74	450	35	6561	
24191	Dg196	ERR278292; SC_RUN_9471_1#67	UK				other animal			288	388	29	28	74	450	35	6561	
24192	Dg356	ERR278293; SC_RUN_9471_1#68	UK				other animal			1	7	5	428	261	7	1	5130	
24193	Dg145	ERR278294; SC_RUN_9471_1#69	UK				other animal			4	7	10	4	1	7	1	45	ST-45 complex
24194	Dg189	ERR278295; SC_RUN_9471_1#70	UK				other animal			288	388	29	28	98	450	35	6562	
24195	Dg153	ERR278296; SC_RUN_9471_1#71	UK				other animal			1	2	3	4	5	9	3	42	ST-42 complex
24196	Dg192	ERR278297; SC_RUN_9471_1#72	UK				other animal			288	388	29	28	665	450	35	6564	
24197	Dg195	ERR278298; SC_RUN_9471_1#73	UK				other animal			2	1	4	28	126	25	58	6563	ST-1332 complex
24198	HM235411	ERR278299; SC_RUN_9471_1#74	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24199	HM115771	ERR278300; SC_RUN_9471_1#75	UK			gastroenteritis	human stool			7	2	5	2	10	3	6	5	ST-353 complex
24200	HM115713	ERR278301; SC_RUN_9471_1#76	UK			gastroenteritis	human stool			9	2	4	62	4	5	12	2030	ST-257 complex
24201	HM904280	ERR278302; SC_RUN_9471_1#77	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24202	HM909204	ERR278303; SC_RUN_9471_1#78	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24203	HM908634	ERR278304; SC_RUN_9471_1#79	UK			gastroenteritis	human stool			2	1	1		2	1	5		
24204	HM908193	ERR278305; SC_RUN_9471_1#80	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24205	HM905080	ERR278306; SC_RUN_9471_1#81	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24206	HM909114	ERR278307; SC_RUN_9471_1#82	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24207	HM314036	ERR278308; SC_RUN_9471_1#83	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24208	HM301572	ERR278309; SC_RUN_9471_1#84	UK			gastroenteritis	human stool			1	2	3	4	5	9	3	42	ST-42 complex
24209	HM331258	ERR278310; SC_RUN_9471_1#85	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24210	HM905487	ERR278311; SC_RUN_9471_1#86	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24211	HM79979	ERR278312; SC_RUN_9471_1#87	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24212	HM907529	ERR278313; SC_RUN_9471_1#88	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24213	HM326144	ERR278314; SC_RUN_9471_1#89	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24214	HM912030	ERR278315; SC_RUN_9471_1#90	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24215	HM905980	ERR278316; SC_RUN_9471_1#91	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24216	HM0627643	ERR278317; SC_RUN_9471_1#92	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24217	HM179091	ERR278318; SC_RUN_9471_1#93	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24218	HM908538	ERR278319; SC_RUN_9471_1#94	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24219	HM179023	ERR278320; SC_RUN_9471_1#95	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24220	HM908265	ERR278321; SC_RUN_9471_1#96	UK			gastroenteritis	human stool			2	1	1	3	2	1	5	21	ST-21 complex
24221	6176/12		Finland	2012			chicken	carrier		27	31	29	28	360	161	87	6555	
24222	6741/12		Finland	2012			chicken	carrier		1	6	95	5	39	7	51	6556	
24223	CCN 263		UK	2010			chicken			76	22	165	98	146	254	16	6557	
24224	CCN 867		UK	2010			chicken			2	7	10	4	189	7	1	6558	ST-45 complex
24225	CCN 1065		UK	2010			chicken			87	124	30	82	113	7	74	6559	
24226	CC 1430		UK	2011			chicken			7	2	5	2	10	67	6	6560	ST-353 complex
24227	DgC6a		UK	2010			other animal			1	7	5	428	261	7	1	5130	
24228	DgC6b		UK	2010			other animal			1	7	5	428	261	7	1	5130	
24229	DgC7		UK	2010			other animal			288	388	29	28	547	450	35	5129	
24230	DgC39		UK	2010			other animal			288	388	29	28	547	450	35	5129	
24231	DgG2		UK	2010			other animal			1	2	42	4	98	58	34	586	
24232	74568		Israel	2010			human stool			160	84	5	10	11	1	5	6565	
24233	75443		Israel	2010			human blood culture			1	2	8	4	5	9	3	6566	ST-42 complex
24234	76253		Israel	2010			human stool			7	4	52	68	11	3	6	3254	
24235	76656		Israel	2010			human stool			24	30	2	2	13	59	6	6567	ST-460 complex
24236	BID19R	ERR278416; SC_RUN_9471_2#95	Malawi	2012						2	2	5	2	10	3	6	2851	ST-353 complex
24237	BID1AV	ERR278417; SC_RUN_9471_2#96	Malawi	2012						10	27	33	19	10	5	7	3219	ST-403 complex
24238	H1		Japan	2010			human stool			24	17	2	2	11	59	6	6568	ST-460 complex
24239	H2		Japan	2010			human stool			24	17	2	2	11	59	6	6568	ST-460 complex
24240	H5		Japan	2010			human stool			24	17	2	2	11	59	6	6568	ST-460 complex
24241	H9		Japan	2010			human stool			4	7	10	4	11	51	1	6569	ST-45 complex
24242	H84		Japan	2010			human stool			1	30	2	2	89	3	6	6570	ST-460 complex
24243	H85		Japan	2010			human stool			1	30	2	2	89	3	6	6570	ST-460 complex
24244	H86		Japan	2010			human stool			1	30	2	2	89	3	6	6570	ST-460 complex
24245	H121		Japan	2010			human stool			1	17	2	2	11	12	6	5538	ST-354 complex
24246	H122		Japan	2010			human stool			24	17	2	2	11	59	6	6568	ST-460 complex
24247	H123		Japan	2010			human stool			24	17	2	2	11	59	6	6568	ST-460 complex
24248	6734/12		Finland	2012			chicken	carrier		18	89	398	109	122	86	16	6571	ST-952 complex
24249	C8	4	UK	2005			chicken offal or meat			4	7	10	4	1	7	1	45	ST-45 complex
24250	7802A	13	UK	2006			cattle			1	4	2	2	6	3	17	61	ST-61 complex
24251	W260a	14	New Zealand	2001			environmental waters			175	251	216	282	359	293	102	2381	
24252	48321	22	UK	2001			chicken offal or meat			9	2	4	62	4	5	6	257	ST-257 complex
24253	7487	30	UK	2006			human unspecified			2	10	2	4		3	6		
24254	F79015	2	UK	2003			human unspecified			33	38	30	115	104	85	17	867	ST-828 complex
24255	8993	5	UK	2006			pig			32	39	44	82	104	85	36	2696	
24256	PW1	15	UK	2004			pig			33	38	30	82	104	85	68	887	ST-828 complex
24257	Duck269, 8840	16	UK	2007			duck											
24258	C138	17	UK	2005			chicken offal or meat			33	38	30	115	104	85	17	867	ST-828 complex
24259	C28B51	18	UK	2004			chicken offal or meat			7	110	103	140	188	164	79	3667	ST-1150 complex
24260	182	19	UK	2006			human unspecified			157	39	30	79	668	35	17		
24261	C4B19	20	UK	2003			chicken offal or meat				110	103	140	188	164	79		
24262	C4B30	21	UK	2003			chicken offal or meat			33	39	30	82	104	43	17	828	ST-828 complex
24263	Duck323, 8866	23	UK	2007			duck			81	86	87	113	270	238	152	3311	
24264	BB2617	24	UK	2003			chicken offal or meat			33	39	30	82	104	43	17	828	ST-828 complex
24265	911	25	UK	2005			human unspecified				110	30	291	188	164	79		
24266	8808	1	UK	2007			duck			86	189	86		287	236	76		
24267	2544	10	UK	2006			human unspecified			130	245	88	245	288	129	76	2326	
24268	6873	11	UK	2006			duck			130	86	87	124	160	129	73	2016	
24269	dfvf1656	12	Denmark	2001			chicken offal or meat			130	177	88	198	246	209	76	1572	
24270	FSA05.280042	3	UK	2005			environmental waters			145	207	172	239	275	243	154	1992	
24271	8096	6	UK	2006			chicken offal or meat			163	215	210	218	669	241	198	7243	
24272	dfvf1912	7	Denmark	2002			chicken offal or meat			128	175	152	197	245	208	133	1576	
24273	4944	8	USA	2001			human unspecified			78	167	158	204	254	212	140	1670	
24274	RM4931	9	USA	2000			human unspecified			123	182	160	206	233	217	138	1643	
24275	BKT30340-12		Sweden	2012		carrier	human stool			1	7	59	2	10	5	7	6572	
24276	CSAH371		Sweden	2011		gastroenteritis	human stool			18	70	22	109	670	94	171	6573	
24277	BKT26948-12		Sweden	2012		carrier	pig			32	38	30	82	152	35	36	6574	
24278	BKT26925-12		Sweden	2012		carrier	pig			33	38	30	82	104	394	17	6575	ST-828 complex
24279	BKT8120-12		Sweden	2012		carrier	pig			33	38	30	82	104	394	36	6576	ST-828 complex
24280	BKT31501-12		Sweden	2012		carrier	sheep			33	38	30	82	242	117	17	6577	ST-828 complex
24281	BKT24126-12		Sweden	2012		carrier	pig			33	39	30	78	104	47	132	6578	ST-828 complex
24282	BKT11326-12		Sweden	2012		carrier	pig			33	39	30	81	113	43	17	6579	ST-828 complex
24283	BKT68743-11		Sweden	2011		carrier	pig			33	39	44	82	118	43	17	6580	ST-828 complex
24284	BKT53804-12		Sweden	2012		carrier	pig			33	39	402	82	104	47	17	6581	ST-828 complex
24285	BKT13970-12		Sweden	2012		carrier	pig			33	39	402	82	113	43	17	6582	ST-828 complex
24286	BKT2572-12		Sweden	2012		carrier	pig			33	153	30	79	104	35	36	6583	
24287	BKT72654-11		Sweden	2011		carrier	pig			33	262	30	78	104	43	17	6584	ST-828 complex
24288	BKT64448-11		Sweden	2011		carrier	pig			33	262	30	82	104	43	17	6585	ST-828 complex
24289	BKT42447-12		Sweden	2012		carrier	chicken			53	466	30	82	113	43	17	6586	ST-828 complex
24290	BKT16768-12		Sweden	2012		carrier	pig			53	39	30	81	118	35	36	6587	
24291	BKT54357-12		Sweden	2012		carrier	chicken			64	22	203	516	134	103	60	6588	
24292	CSAH2689		Sweden	2012		gastroenteritis	human stool			64	89	20	100	134	101	16	6589	
24293	CSAH1345		Sweden	2012		gastroenteritis	human stool			64	95	77	98	134	94	16	6590	
24294	CSAH2675		Sweden	2012		gastroenteritis	human stool			64	105	20	77	94	103	16	6591	
24295	CSAH1555		Sweden	2012		gastroenteritis	human stool			64	467	71	100	134	101	16	6592	
24296	CSA-VV96		Sweden	2012			environmental waters			86	86	88	518	164	277	76	6593	
24297	CSAH1091		Sweden	2012		gastroenteritis	human stool			104	7	10	4	656	7	1	6594	ST-45 complex
24298	BKT48995-12		Sweden	2012		carrier	pig			159	39	30	82	104	35	17	6595	ST-828 complex
24299	BKT5263-12		Sweden	2012		carrier	pig			159	39	30	82	113	47	17	6596	ST-828 complex
24300	CSA-VV78		Sweden	2012			environmental waters			204	456	403	308	661	316	230	6597	
24301	BYC 125		UK	2009			chicken			124	39	30	82	188	47	74	6598	
24302	BYC 138		UK	2009			chicken			7	71	5	62	11	178	6	6599	
24303	73536		Israel	2010			human stool			7	71	5	2	11	67	6	6600	ST-353 complex
24304	CJ6656_R	ERR355936; SC_RUN_9716_3#3	UK							2	1	21	3	2	1	5	53	ST-21 complex
24305	CJ6657_R	ERR355937; SC_RUN_9716_3#4	UK							24	2	2	2	10	3	1	464	ST-464 complex
24306	CJ6752_R	ERR355938; SC_RUN_9716_3#15	UK							8	1	6	3	2	1	12	2135	ST-21 complex
24307	CJ6753_R	ERR355939; SC_RUN_9716_3#16	UK							8	10	2	2	11	12	6	354	ST-354 complex
24308	CAMSA463_R	ERR355940; SC_RUN_9716_3#27	Denmark							2	1	1	3	2	1	5	21	ST-21 complex
24309	CAMSA471_R	ERR355941; SC_RUN_9716_3#28	Denmark							2	1	1	3	2	1	5	21	ST-21 complex
24310	CAMSA148_R	ERR355942; SC_RUN_9716_3#29	Denmark							2	1	1	3	2	1	5	21	ST-21 complex
24311	CAMSA15_R	ERR355943; SC_RUN_9716_3#30	Denmark							2	1	1	3	2	1	5	21	ST-21 complex
24312	CJ6946_R	ERR355944; SC_RUN_9716_3#47	UK							2	1	12	3	2	1	5	50	ST-21 complex
24313	CJ6947_R	ERR355945; SC_RUN_9716_3#48	UK							2	21	5	37	2	1	5	206	ST-206 complex
24314	ARI_1433_R	ERR355946; SC_RUN_9716_3#49	UK							8	10	2	210	11	12	6	2033	ST-354 complex
24315	ARI_1434_R	ERR355947; SC_RUN_9716_3#50	UK							2	1	1	3	492	1	5	5018	ST-21 complex
24316	UCT046_R	ERR355948; SC_RUN_9716_3#51	South Africa							325	223	365	253	305	263	168	6094	
24317	UCT047_R	ERR355949; SC_RUN_9716_3#52	South Africa															
24318	ARI_915_R	ERR355950; SC_RUN_9716_3#53	UK							7	2	5	2	10	3	6	5	ST-353 complex
24319	ARI_916_R	ERR355951; SC_RUN_9716_3#54	UK							2	1	12	3	2	1	5	50	ST-21 complex
24320	ARI_1021_R	ERR355952; SC_RUN_9716_3#55	UK							24	2	2	2	10	3	1	464	ST-464 complex
24321	ARI_1022_R	ERR355953; SC_RUN_9716_3#56	UK							2	17	2	3	2	1	5	883	ST-21 complex
24322	NC15_R	ERR355954; SC_RUN_9716_3#57	UK							1	2	3	4	5	9	3	42	ST-42 complex
24323	NC16_R	ERR355955; SC_RUN_9716_3#58	UK							1	4	2	2	6	3	17	61	ST-61 complex
