id	isolate	aliases	country	year	isolation date	disease	source	epidemiology	penner	aspA	glnA	gltA	glyA	pgm	tkt	uncA	ST	clonal complex
13002	CG-99-8145		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13003	CG-99-8147		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13004	CG-99-8151		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13005	CG-99-8153		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	27	15	11	3	3	2943	ST-574 complex
13006	CG-99-8157		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13007	CG-99-8159		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13008	CG-99-8236		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	27	15	11	3	3	2943	ST-574 complex
13009	CG-99-8239		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13010	CG-99-8241		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13011	CG-99-8249		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	3	6	5667	ST-353 complex
13012	CG-99-8257		Thailand	1999		gastroenteritis	human stool	sporadic case		9	17	1	53	151	102	6	5668	
13013	CG-99-8259		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13014	CG-99-8261		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	461	22	102	6	5700	
13015	CG-99-8263		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13016	CG-99-8351		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13017	CG-99-8353		Thailand	1999		gastroenteritis	human stool	sporadic case		9	17	1	53	151	3	6	2942	
13018	CG-99-8403		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13019	CG-99-8411		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13020	CG-99-8415		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13021	CG-99-8423		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13022	CG-99-8425		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13023	CG-99-8431		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13024	CG-99-8437		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13025	CG-99-8441		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13026	CG-99-PEREZ MEL		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	27	15	11	3	3	2943	ST-574 complex
13027	CG-99-ACOSTA(1)		Thailand	1999		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13028	CG-99-ACOSTA(2)		Thailand	1999		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13029	CG-99-8265		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13030	CG-99-8272		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13031	CG-99-8273		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	72	11	3	6	5701	ST-52 complex
13032	CG-99-8275		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	3	5669	
13033	CG-99-8277		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13034	CG-99-8279		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13035	CG-99-8284		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13036	CG-99-8289		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13037	CG-99-8291		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13038	CG-99-8292		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13039	CG-99-8299		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	2	10	11	3	3	574	ST-574 complex
13040	CG-99-8459		Thailand	1999		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13041	CG-99-8461		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13042	CG-99-8476		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13043	CG-99-8477		Thailand	1999		gastroenteritis	human stool	sporadic case		199	17	2	15	23	3	12	2865	ST-443 complex
13044	CG-99-8481		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13045	CG-99-8486		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13046	CG-99-8497		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13047	CG-99-8513		Thailand	1999		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13048	CG-99-8309		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13049	CG-99-8316		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13050	CG-99-8528		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	12	3	5661	ST-574 complex
13051	NS-8703		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	3	6	4091	ST-354 complex
13052	NS-8706		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13053	NS-8708		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13054	NS-8717		Thailand	2000		gastroenteritis	human stool	sporadic case		7	53	2	15	11	3	3	919	ST-574 complex
13055	NS-8723		Thailand	2000		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13056	NS-8729		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	10	11	37	1	525	ST-607 complex
13057	NS-8781		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	1	2438	ST-354 complex
13058	NS-8782		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	1	2438	ST-354 complex
13059	NSC-8749		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13060	NS-8798		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13061	NS-8952		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	1	2438	ST-354 complex
13062	NS-8959		Thailand	2000		gastroenteritis	human stool	sporadic case		24	52	57	26	127	29	23	2945	ST-692 complex
13063	NS-8964		Thailand	2000		gastroenteritis	human stool	sporadic case		9	53	5	10	11	3	3	2895	ST-574 complex
13064	NS-BC-8958		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	1	2438	ST-354 complex
13065	NS-8968		Thailand	2000		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13066	NS-8932		Thailand	2000		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13067	NS-8939		Thailand	2000		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13068	NS-8948		Thailand	2000		gastroenteritis	human stool	sporadic case		24	52	57	26	127	29	23	2945	ST-692 complex
13069	NS-9230		Thailand	2000		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13070	NS-9233		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13071	NS-9237		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13072	NS-9241		Thailand	2000		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13073	NS-9247		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13074	NS-9282		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13075	TS-8605		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13076	TS-8606		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13077	TS-8608		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13078	TS-8610		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	5	3006	ST-354 complex
13079	TSC-8624		Thailand	2000		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	6	5662	ST-52 complex
13080	TS-8636		Thailand	2000		gastroenteritis	human stool	sporadic case		7	17	2	2	86	3	1	1953	ST-353 complex
13081	TS-8638		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13082	TS-8641		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13083	TS-8644		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13084	TSC-8652		Thailand	2000		gastroenteritis	human stool	sporadic case		7	53	2	10	11	3	3	574	ST-574 complex
13085	TS-8656		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13086	TS-8668		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13087	TS-8676		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13088	TS-8851		Thailand	2000		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13089	TS-8859		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13090	TS-8812		Thailand	2000		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13091	TS-8828		Thailand	2000		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13092	TS-8832		Thailand	2000		gastroenteritis	human stool	sporadic case		7	4	1	68	11	58	6	2131	
13093	TS-8834		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13094	TS-8845		Thailand	2000		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13095	TS-8846		Thailand	2000		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13096	TSC-8884		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13097	TS-8894		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13098	TSC-9310		Thailand	2000		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13099	TS-9341		Thailand	2000		gastroenteritis	human stool	sporadic case		24	10	2	2	89	59	6	5663	ST-460 complex
13100	TS-9346		Thailand	2000		gastroenteritis	human stool	sporadic case		8	30	2	2	11	12	6	5664	ST-354 complex
13101	CG-01-09501		Thailand	2001		gastroenteritis	human stool	sporadic case		24	30	2	312	11	59	6	2952	ST-460 complex
13102	CG-01-09505		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13103	CG-01-09508		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13104	CG-01-09516		Thailand	2001		gastroenteritis	human stool	sporadic case		24	30	2	312	11	59	6	2952	ST-460 complex
13105	CG-01-09519		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13106	CG-01-09526		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13107	CG-01-09530		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13108	CG-01-09533		Thailand	2001		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13109	CG-01-09534		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13110	CG-01-09538		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13111	CG-01-09540		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	52	10	22	37	1	2923	
13112	CG-01-09542		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13113	CG-01-09544		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13114	CG-01-09546B		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13115	CG-01-09553		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13116	CG-01-09555		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13117	CG-01-09561		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13118	CG-01-09562B		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13119	CG-01-09565		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13120	CG-01-09571		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13121	CG-01-09572		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13122	CG-01-09585		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	59	5	2276	
13123	CG-01-09589		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13124	CG-01-09590		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	59	5	2276	
13125	CG-01-09594		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13126	CG-01-09596		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13127	CG-01-09603		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	11	3	5	5665	ST-52 complex
13128	CG-01-09624		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13129	CG-01-09625		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	1	10	22	3	6	2275	ST-52 complex
13130	CG-01-09641		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13131	CG-01-09360		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13132	CG-01-09361		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13133	CG-01-09365		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13134	CG-01-09367		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13135	CG-01-09372		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13136	CG-01-09379		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13137	CG-01-09405		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	59	5	2276	
13138	CG-01-09409		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	59	5	2276	
13139	CG-01-09417		Thailand	2001		gastroenteritis	human stool	sporadic case		24	30	2	312	11	59	6	2952	ST-460 complex
13140	CG-01-09422		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13141	CG-01-09427		Thailand	2001		gastroenteritis	human stool	sporadic case		7	53	2	15	11	3	3	919	ST-574 complex
13142	CG-01-09429		Thailand	2001		gastroenteritis	human stool	sporadic case		7	53	2	15	11	3	3	919	ST-574 complex
13143	CG-01-09439		Thailand	2001		gastroenteritis	human stool	sporadic case		4	7	10	4	42	7	1	137	ST-45 complex
13144	CG-01-09442		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13145	CG-01-09450		Thailand	2001		gastroenteritis	human stool	sporadic case		7	17	5	10	11	3	6	1232	ST-353 complex
13146	CG-02-3017		Thailand	2002		gastroenteritis	human stool	sporadic case		9	17	5	53	151	3	6	5666	ST-353 complex
13147	CG-02-3031		Thailand	2002		gastroenteritis	human stool	sporadic case		14	21	2	10	86	3	6	161	ST-52 complex
13148	CG-02-3038		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13149	CG-02-3053		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13150	CG-02-3056		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13151	CG-02-3058		Thailand	2002		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13152	CG-02-3064		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13153	CG-02-3068		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13154	CG-02-3074		Thailand	2002		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13155	CG-03-4010		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13156	CG-03-4015		Thailand	2003		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13157	CG-03-4020		Thailand	2003		gastroenteritis	human stool	sporadic case		24	30	2	2	89	59	6	460	ST-460 complex
13158	CG-03-4025		Thailand	2003		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13159	CG-03-4034		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13160	CG-03-4037		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13161	CG-03-4042		Thailand	2003		gastroenteritis	human stool	sporadic case		8	419	2	2	11	12	6	5702	ST-354 complex
13162	CG-03-4043		Thailand	2003		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13163	CG-03-4044		Thailand	2003		gastroenteritis	human stool	sporadic case		9	30	2	2	89	59	6	535	ST-460 complex
13164	CG-03-4046		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	10	10	3	5	5703	ST-464 complex
13165	CG-03-4050		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13166	CG-03-4068		Thailand	2003		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13167	CG-03-4072		Thailand	2003		gastroenteritis	human stool	sporadic case		8	419	2	2	11	12	6	5702	ST-354 complex
13168	BH-01-2		Thailand	2001		gastroenteritis	human stool	sporadic case		7	17	52	10	11	3	6	2036	ST-353 complex
13169	BH-01-6		Thailand	2001		gastroenteritis	human stool	sporadic case		1	3	6	4	3	3	3	22	ST-22 complex
13170	BH-01-39		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	10	10	37	1	1035	
13171	BH-01-50		Thailand	2001		gastroenteritis	human stool	sporadic case		4	7	10	4	42	7	1	137	ST-45 complex
13172	BH-01-59		Thailand	2001		gastroenteritis	human stool	sporadic case		8	2	1	53	90	3	1	2919	ST-607 complex
13173	BH-01-82		Thailand	2001		gastroenteritis	human stool	sporadic case		55	21	27	10	147	37	6	849	
13174	BH-01-109		Thailand	2001		gastroenteritis	human stool	sporadic case		166	2	1	10	11	3	1	2921	ST-607 complex
13175	BH-01-142		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	5	2	10	3	6	5	ST-353 complex
13176	BH-01-155		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13177	BH-01-177		Thailand	2001		gastroenteritis	human stool	sporadic case		8	2	52	68	10	5	1	2938	
13178	BH-01-193		Thailand	2001		gastroenteritis	human stool	sporadic case		8	21	2	313	153	253	147	2954	
13179	BH-01-196		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13180	BH-01-204		Thailand	2001		gastroenteritis	human stool	sporadic case		24	30	5	2	22	3	6	1075	ST-353 complex
13181	BH-01-217		Thailand	2001		gastroenteritis	human stool	sporadic case		14	21	2	10	86	3	6	161	ST-52 complex
13182	BH-01-221		Thailand	2001		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13183	BH-01-258		Thailand	2001		gastroenteritis	human stool	sporadic case		14	21	2	10	151	3	6	2939	ST-52 complex
13184	BH-01-289		Thailand	2001		gastroenteritis	human stool	sporadic case		2	1	12	3	2	3	5	2789	ST-21 complex
13185	BH-01-316		Thailand	2001		gastroenteritis	human stool	sporadic case		166	2	1	10	11	3	1	2921	ST-607 complex
13186	BH-01-322		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13187	BH-01-335		Thailand	2001		gastroenteritis	human stool	sporadic case		60	69	52	10	11	3	6	407	
13188	BH-01-408		Thailand	2001		gastroenteritis	human stool	sporadic case		14	21	2	10	11	3	6	379	ST-52 complex
13189	BHC-01-360		Thailand	2001		gastroenteritis	human stool	sporadic case		3	1	5	17	11	11	6	49	ST-49 complex
13190	BHC-01-391		Thailand	2001		gastroenteritis	human stool	sporadic case		8	1	5	68	10	5	1	2920	
13191	TBH-01-68		Thailand	2001		gastroenteritis	human stool	sporadic case		4	7	10	4	42	7	1	137	ST-45 complex
13192	TBH-01-327		Thailand	2001		gastroenteritis	human stool	sporadic case		8	2	2	212	309	253	147	2083	
13193	TBHC-01-38		Thailand	2001		gastroenteritis	human stool	sporadic case		166	2	5	10	11	3	1	2940	ST-607 complex
13194	CG-98-U-5		Thailand	1998		gastroenteritis	human stool	sporadic case		24	30	2	2	89	59	6	460	ST-460 complex
13195	CG-98-U-6		Thailand	1998		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13196	CG-98-U-22		Thailand	1998		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13197	CG-98-U-54		Thailand	1998		gastroenteritis	human stool	sporadic case		166	2	1	10	11	3	1	2921	ST-607 complex
13198	CG-98-U-77		Thailand	1998		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	6	1360	ST-21 complex
13199	CG-98-K-18		Thailand	1998		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13200	CG-98-K-37		Thailand	1998		gastroenteritis	human stool	sporadic case		7	4	2	68	11	3	6	2941	ST-658 complex
13201	CG-98-K-67		Thailand	1998		gastroenteritis	human stool	sporadic case		7	17	52	10	11	3	6	2036	ST-353 complex
13202	CG-98-K-75		Thailand	1998		gastroenteritis	human stool	sporadic case		2	1	12	3	2	1	5	50	ST-21 complex
13203	CG-98-K-87		Thailand	1998		gastroenteritis	human stool	sporadic case		8	10	2	2	11	12	6	354	ST-354 complex
13204	CG-98-K-92		Thailand	1998		gastroenteritis	human stool	sporadic case		7	2	5	10	10	37	1	1035	
13205	CG-99-8013		Thailand	1999		gastroenteritis	human stool	sporadic case		7	17	5	10	11	3	6	1232	ST-353 complex
13206	CG-99-8015		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13207	CG-99-8023		Thailand	1999		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13208	CG-99-8103		Thailand	1999		gastroenteritis	human stool	sporadic case		9	17	1	53	151	3	6	2942	
13209	BH-01-235		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	4	62	4	5	6	257	ST-257 complex
13210	CG-99-8123		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13211	CG-99-8125#1		Thailand	1999		gastroenteritis	human stool	sporadic case		7	4	1	68	11	58	6	2131	
13212	CG-99-8129		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	27	15	11	3	3	2943	ST-574 complex
13213	CG-99-8131		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13214	CG-99-8203		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13215	CG-99-8245		Thailand	1999		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13216	CG-99-8285		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	1	10	22	3	6	2275	ST-52 complex
13217	CG-99-8421		Thailand	1999		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13218	CG-99-8451		Thailand	1999		gastroenteritis	human stool	sporadic case		166	2	5	10	151	3	1	2927	ST-607 complex
13219	CG-99-8453		Thailand	1999		gastroenteritis	human stool	sporadic case		7	53	2	10	11	3	3	574	ST-574 complex
13220	CG-99-8472		Thailand	1999		gastroenteritis	human stool	sporadic case		7	4	2	68	11	3	6	2941	ST-658 complex
13221	CG-01-09369		Thailand	2001		gastroenteritis	human stool	sporadic case		9	2	2	10	10	3	5	1919	ST-52 complex
13222	CG-01-09431		Thailand	2001		gastroenteritis	human stool	sporadic case		7	4	2	68	11	3	6	2941	ST-658 complex
13223	CG-01-09438		Thailand	2001		gastroenteritis	human stool	sporadic case		7	53	2	10	11	3	3	574	ST-574 complex
13224	CG-01-09444		Thailand	2001		gastroenteritis	human stool	sporadic case		24	30	2	312	11	59	6	2952	ST-460 complex
13225	CG-01-09510		Thailand	2001		gastroenteritis	human stool	sporadic case		24	2	2	2	10	3	1	464	ST-464 complex
13226	CG-01-09531		Thailand	2001		gastroenteritis	human stool	sporadic case		7	17	2	15	23	3	12	51	ST-443 complex
13227	CG-01-09536		Thailand	2001		gastroenteritis	human stool	sporadic case		7	17	5	10	11	3	6	1232	ST-353 complex
13228	CG-01-09568		Thailand	2001		gastroenteritis	human stool	sporadic case		14	21	5	10	86	3	6	2950	
13229	CG-01-09573		Thailand	2001		gastroenteritis	human stool	sporadic case		7	2	52	10	22	37	1	2923	
13230	CG-01-09625		Thailand	2001		gastroenteritis	human stool	sporadic case		9	53	2	53	11	3	3	2140	ST-574 complex
13231	CG-02-3015		Thailand	2002		gastroenteritis	human stool	sporadic case		2	75	4	48	141	24	1	2953	ST-661 complex
13232	CG-02-3016		Thailand	2002		gastroenteritis	human stool	sporadic case		166	2	1	10	11	3	1	2921	ST-607 complex
13233	CG-02-3018		Thailand	2002		gastroenteritis	human stool	sporadic case		7	2	5	72	22	102	6	768	
13234	CG-02-3022		Thailand	2002		gastroenteritis	human stool	sporadic case		9	2	1	10	22	3	6	2275	ST-52 complex
